corpus,experiment,condition,class,fold,metric,value
sep28k,matched_retraining_fixed,opus_16k,SoundRep,0,brier,0.16151557847812487
sep28k,matched_retraining_val,opus_16k,SoundRep,0,brier,0.16151557847812487
sep28k,majority_vote_fixed,opus_16k,SoundRep,0,brier,0.18159353971889902
sep28k,mlp_head_degraded,opus_16k,SoundRep,0,brier,0.1467127948999405
sep28k,deployment_fixed,opus_16k,WordRep,0,f1,0.618925831202046
sep28k,deployment_clean_val,opus_16k,WordRep,0,f1,0.6272965879265092
sep28k,deployment_deg_val,opus_16k,WordRep,0,f1,0.6253602305475504
sep28k,matched_retraining_fixed,opus_16k,WordRep,0,f1,0.6149870801033591
sep28k,matched_retraining_val,opus_16k,WordRep,0,f1,0.6153846153846154
sep28k,majority_vote_fixed,opus_16k,WordRep,0,f1,0.5407066052227343
sep28k,mlp_head_degraded,opus_16k,WordRep,0,f1,0.599290780141844
sep28k,deployment_fixed,opus_16k,WordRep,0,precision,0.5413870246085011
sep28k,deployment_clean_val,opus_16k,WordRep,0,precision,0.5597189695550351
sep28k,deployment_deg_val,opus_16k,WordRep,0,precision,0.6044568245125348
sep28k,matched_retraining_fixed,opus_16k,WordRep,0,precision,0.5421412300683371
sep28k,matched_retraining_val,opus_16k,WordRep,0,precision,0.6219512195121951
sep28k,majority_vote_fixed,opus_16k,WordRep,0,precision,0.39373601789709173
sep28k,mlp_head_degraded,opus_16k,WordRep,0,precision,0.7379912663755459
sep28k,deployment_fixed,opus_16k,WordRep,0,recall,0.7223880597014926
sep28k,deployment_clean_val,opus_16k,WordRep,0,recall,0.7134328358208956
sep28k,deployment_deg_val,opus_16k,WordRep,0,recall,0.6477611940298508
sep28k,matched_retraining_fixed,opus_16k,WordRep,0,recall,0.7104477611940299
sep28k,matched_retraining_val,opus_16k,WordRep,0,recall,0.608955223880597
sep28k,majority_vote_fixed,opus_16k,WordRep,0,recall,0.8627450980392157
sep28k,mlp_head_degraded,opus_16k,WordRep,0,recall,0.5044776119402985
sep28k,deployment_fixed,opus_16k,WordRep,0,auc,0.8552816942953219
sep28k,deployment_clean_val,opus_16k,WordRep,0,auc,0.8552816942953219
sep28k,deployment_deg_val,opus_16k,WordRep,0,auc,0.8552816942953219
sep28k,matched_retraining_fixed,opus_16k,WordRep,0,auc,0.854512418146422
sep28k,matched_retraining_val,opus_16k,WordRep,0,auc,0.854512418146422
sep28k,majority_vote_fixed,opus_16k,WordRep,0,auc,0.9054019888757796
sep28k,mlp_head_degraded,opus_16k,WordRep,0,auc,0.8563671759778183
sep28k,deployment_fixed,opus_16k,WordRep,0,pr_auc,0.6619918796785099
sep28k,deployment_clean_val,opus_16k,WordRep,0,pr_auc,0.6619918796785099
sep28k,deployment_deg_val,opus_16k,WordRep,0,pr_auc,0.6619918796785099
sep28k,matched_retraining_fixed,opus_16k,WordRep,0,pr_auc,0.6625386459334718
sep28k,matched_retraining_val,opus_16k,WordRep,0,pr_auc,0.6625386459334718
sep28k,majority_vote_fixed,opus_16k,WordRep,0,pr_auc,0.5957770465113672
sep28k,mlp_head_degraded,opus_16k,WordRep,0,pr_auc,0.6932877625510939
sep28k,deployment_fixed,opus_16k,WordRep,0,ece,0.16265464317753323
sep28k,deployment_clean_val,opus_16k,WordRep,0,ece,0.16265464317753323
sep28k,deployment_deg_val,opus_16k,WordRep,0,ece,0.16265464317753323
sep28k,matched_retraining_fixed,opus_16k,WordRep,0,ece,0.15459263822393027
sep28k,matched_retraining_val,opus_16k,WordRep,0,ece,0.15459263822393027
sep28k,majority_vote_fixed,opus_16k,WordRep,0,ece,0.24452964317753323
sep28k,mlp_head_degraded,opus_16k,WordRep,0,ece,0.03120844113640488
sep28k,deployment_fixed,opus_16k,WordRep,0,brier,0.13972535017231935
sep28k,deployment_clean_val,opus_16k,WordRep,0,brier,0.13972535017231935
sep28k,deployment_deg_val,opus_16k,WordRep,0,brier,0.13972535017231935
